Leitungsfunktion;Status seit;Eigentum;Teilnetz;Druckzone;Bauart;Vorschieber;Leistung (m³/h);Bemerkung;Nennweite DN [mm];Nenndruck (PN);Verbindungsart;Einbaujahr;Postleitzahl;Gemeindename;Ortsteilname;Straßenname;Strassenschlüssel;Hausnr;Hausnr-Ergänzung;Gebäudelage;Gebäudenutzung;Name I;Name II;Benutzeridentifikation;WA Leitungsabschnitt;X B Position ETRS89 Zone 32;Y B Position ETRS89 Zone 32;X B Punkt AW ETRS89 Zone 32;Y B Punkt AW ETRS89 Zone 32;Id;Latitude;Longitude;;
Versorgungsleitung;01.01.49;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;50,625;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1949;90475;Nürnberg;Altenfurt;Oelser Str.;508036200004;8915;;;Hydrant;"VW;Versorgungsleitung;in Betrieb;01.01.1949;100";"(UH) Unterflurhydrant;N-ERGIE;1936029;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Oelser Str.;8915;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;494.477 m;494.959 m;BP:OK ÜP:N.OK  NL:OK ;;;";657476.452 m;5474423.484 m;;;1936029;49.402110;11.170614;;
Versorgungsleitung;23.08.16;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;109,125;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2016;90475;Nürnberg;Altenfurt;Wittelsbacherstr.;511372000014;100;;;Zweifamilienhaus;"VW;Versorgungsleitung;in Betrieb;23.08.2016;100";"(UH) Unterflurhydrant;N-ERGIE;26906239;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Wittelsbacherstr.;100;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;26.900 m;26.667 m;BP:OK ÜP:OK  NL:OK ;;;";657933.388 m;5474735.292 m;;;26906239;49.404795;11.177031;;
Versorgungsleitung;21.01.11;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;87,375;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2011;90475;Nürnberg;Moorenbrunn;Streubuck;510144200001;17;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.2011;100";"(OH) Überflurhydrant;N-ERGIE;1911187;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Streubuck;17;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;53.692 m;54.837 m;BP:OK ÜP:OK  NL:OK ;;;";657485.787 m;5473454.662 m;;;1911187;49.393400;11.170359;;
Versorgungsleitung;01.01.49;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;100,125;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1949;90475;Nürnberg;Altenfurt;Hohenzollernstr.;505024300034;31;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1949;100";"(UH) Unterflurhydrant;N-ERGIE;1960315;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Hohenzollernstr.;31;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;92.500 m;91.654 m;BP:OK ÜP:OK  NL:OK ;;;";657618.802 m;5474400.380 m;;;1960315;49.401866;11.172565;;
Hydrantenleitung;;N-ERGIE;(35)Langwasser Süd;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;159,75;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1999;90475;Nürnberg;Moorenbrunn;Schreiberhauer Str.;509491400001;11;;;Geschäft,Gewerbe;"VW;Hydrantenleitung;in Betrieb;01.01.1999;80";"(OH) Überflurhydrant;N-ERGIE;1933889;(35)Langwasser Süd";"Nürnberg;Moorenbrunn;Schreiberhauer Str.;11;";"VW;Hydrantenleitung;(35)Langwasser Süd;in Betrieb;01.01.1997;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;3.100 m;2.809 m;BP:OK ÜP:N.OK  NL:OK ;;;";656796.448 m;5474450.097 m;;;1933889;49.402525;11.161258;;
Hydrantenleitung;22.07.16;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2016;90475;Nürnberg;Moorenbrunn;Salzburger Str.;509165900020;63;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;22.07.2016;80";"(UH) Unterflurhydrant;N-ERGIE;26838039;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Salzburger Str.;63;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1972;(HOB) Hoher Bühl;(PVC) Polyvinylchlorid;80;PN 10;1.500 m;1.499 m;BP:OK ÜP:OK  NL:OK ;;;";657555.966 m;5473998.047 m;;;26838039;49.398266;11.171540;;
Versorgungsleitung;12.03.12;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;45;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2012;90475;Nürnberg;Fischbach;Flachsröststr.;503431400001;50;g;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;12.03.2012;80";"(UH) Unterflurhydrant;N-ERGIE;23328779;(37)Fischbach";"Nürnberg;Fischbach;Flachsröststr.;50 g;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;12.03.2012;(HOB) Hoher Bühl;90*8,2 PE-100;80;PN 10;92.945 m;92.821 m;BP:OK ÜP:OK  NL:OK ;;;";658466.501 m;5477379.461 m;;;23328779;49.428423;11.185430;;
Hydrantenleitung;30.10.12;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(OH) Überflurhydrant;ja;108;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2012;90475;Nürnberg;Fischbach;Kinderschulgasse;506137300001;14;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;30.10.2012;80";"(OH) Überflurhydrant;N-ERGIE;23498443;(37)Fischbach";"Nürnberg;Fischbach;Kinderschulgasse;14;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;30.10.2012;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;1.000 m;1.599 m;BP:OK ÜP:OK  NL:OK ;;;";659156.377 m;5476353.278 m;;;23498443;49.419019;11.194525;;
Versorgungsleitung;05.07.18;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;96,75;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2018;90475;Nürnberg;Altenfurt;Habsburgerstr.;504316700011;82;;;Mehrfamilienhaus;"VW;Versorgungsleitung;in Betrieb;05.07.2018;100";"(UH) Unterflurhydrant;N-ERGIE;28725169;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Habsburgerstr.;82;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;37.200 m;39.726 m;BP:OK ÜP:OK  NL:OK ;;;";657846.435 m;5474413.729 m;;;28725169;49.401927;11.175706;;
Versorgungsleitung;11.06.19;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2019;90475;Nürnberg;Moorenbrunn;Klagenfurter Str.;506179200012;8;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;11.06.2019;150";"(UH) Unterflurhydrant;N-ERGIE;29743386;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Klagenfurter Str.;8;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1972;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen;150;PN 16;37.000 m;33.329 m;BP:OK ÜP:OK  NL:OK ;;;";657723.345 m;5473966.638 m;;;29743386;49.397940;11.173833;;
